<tbl>
<tt> Code(s) für Sprachen des Textes
<dt> 1500.tab
<tag> 1500
<row>Nyanja-Sprache QQ /1nya QQ
<row>Nyoro-Sprache QQ /1nyo QQ
<row>Nzima-Sprache QQ /1nzi QQ
<row>Ojibwa-Sprache QQ /1oji QQ
<row>Okzitanisch (Andere) QQ /1oci QQ
<row>Oraon-Sprache QQ /1kru QQ
<row>Oriya-Sprache QQ /1ori QQ
<row>Osage-Sprache QQ /1osa QQ
<row>Osmanisch QQ /1ota QQ
<row>Ossetisch QQ /1oss QQ
<row>Osterinsel-Sprache QQ /1rap QQ
<row>Otomangue-Sprachen QQ /1oto QQ
<row>Palau-Sprache QQ /1pau QQ
<row>Pāli QQ /1pli QQ
<row>Pampanggan-Sprache QQ /1pam QQ
<row>Pandschabi-Sprache QQ /1pan QQ
<row>Pangasinan-Sprache QQ /1pag QQ
<row>Pangwe-Sprache QQ /1fan QQ
<row>Papiamento QQ /1pap QQ
<row>Papuasprachen (Andere) QQ /1paa QQ
<row>Paschtu QQ /1pus QQ
<row>Pedi-Sprache QQ /1nso QQ
<row>Persisch QQ /1per QQ
<row>Philippinen-Austronesisch (Andere) QQ /1phi QQ
<row>Phönikisch QQ /1phn QQ
<row>Polnisch QQ /1pol QQ
<row>Ponapeanisch QQ /1pon QQ
<row>Portugiesisch QQ /1por QQ
<row>Prākrit QQ /1pra QQ
<row>Quechua-Sprache QQ /1que QQ
<row>Rājasthānī QQ /1raj QQ
<row>Rarotonganisch QQ /1rar QQ
<row>Rätoromanisch QQ /1roh QQ
<row>Romani <Sprache> QQ /1rom QQ
<row>Romanische Sprachen (Andere) QQ /1roa QQ
<row>Rotse-Sprache QQ /1loz QQ
<row>Rumänisch QQ /1rum QQ
<row>Rundi-Sprache QQ /1run QQ
<row>Rusinisch QQ /1sla QQ
<row>Russisch QQ /1rus QQ
<row>Rwanda-Sprache QQ /1kin QQ
<row>Sakisch QQ /1kho QQ
<row>Salish-Sprache QQ /1sal QQ
<row>Samaritanisch QQ /1sam QQ
<row>Samisch QQ /1smi QQ
<row>Samoanisch QQ /1smo QQ
<row>Sandawe-Sprache QQ /1sad QQ
<row>Sango-Sprache QQ /1sag QQ
<row>Sanskrit QQ /1san QQ
<row>Santālī QQ /1sat QQ
<row>Sardisch QQ /1srd QQ
<row>Sasak QQ /1sas QQ
<row>Schan-Sprache QQ /1shn QQ
<row>Schona-Sprache QQ /1sna QQ
<row>Schottisch QQ /1sco QQ
<row>Schwedisch QQ /1swe QQ
<row>Selkupisch QQ /1sel QQ
<row>Semitische Sprachen (Andere) QQ /1sem QQ
<row>Serbisch QQ /1srp QQ
<row>Serer-Sprache QQ /1srr QQ
<row>Sidamo-Sprache QQ /1sid QQ
<row>Sindhi-Sprache QQ /1snd QQ
<row>Singhalesisch QQ /1sin QQ
<row>Sinotibetische Sprachen (Andere) QQ /1sit QQ
<row>Sioux-Sprachen QQ /1sio QQ
<row>Slave-Sprache QQ /1den QQ
<row>Slawische Sprachen (Andere) QQ /1sla QQ
<row>Slowakisch QQ /1slo QQ
<row>Slowenisch QQ /1slv QQ
<row>Sogdisch QQ /1sog QQ
<row>Somali QQ /1som QQ
<row>Songhai-Sprache QQ /1son QQ
<row>Soninke-Sprache QQ /1snk QQ
<row>Sorbisch QQ /1wen QQ
<row>Spanisch QQ /1spa QQ
<row>Süd-Sotho-Sprache QQ /1sot QQ
<row>Sukuma-Sprache QQ /1suk QQ
<row>Sumerisch QQ /1sux QQ
<row>Sundanesisch QQ /1sun QQ
<row>Susu QQ /1sus QQ
<row>Swahili QQ /1swa QQ
<row>Swasi-Sprache QQ /1ssw QQ
<row>Syrisch QQ /1syr QQ
<row>Tadschikisch QQ /1tgk QQ
<row>Tagalog QQ /1tgl QQ
<row>Tahitisch QQ /1tah QQ
<row>Tamašeq QQ /1tmh QQ
<row>Tamil QQ /1tam QQ
<row>Tatarisch QQ /1tat QQ
<row>Telugu-Sprache QQ /1tel QQ
<row>Temne-Sprache QQ /1tem QQ
<row>Tereno-Sprache QQ /1ter QQ
<row>Tetum-Sprache QQ /1tet QQ
<row>Thailändisch QQ /1tha QQ
<row>Thaisprachen (Andere) QQ /1tai QQ
<row>Tibetisch QQ /1tib QQ
<row>Tigre-Sprache QQ /1tig QQ
<row>Tigrinja-Sprache QQ /1tir QQ
<row>Tiv-Sprache QQ /1tiv QQ
<row>Tlingit-Sprache QQ /1tli QQ
<row>Tokelauanisch QQ /1tkl QQ
<row>Tonga <Bantusprache, Sambia> QQ /1tog QQ
<row>Tongaisch QQ /1ton QQ
<row>Trukesisch QQ /1chk QQ
<row>Tschagataisch QQ /1chg QQ
<row>Tschechisch QQ /1cze QQ
<row>Tscheremissisch QQ /1chm QQ
<row>Tschetschenisch QQ /1che QQ
<row>Tschuwaschisch QQ /1chv QQ
<row>Tsimshian-Sprache QQ /1tsi QQ
<row>Tsonga-Sprache QQ /1tso QQ
<row>Tswana-Sprache QQ /1tsn QQ
<row>Tumbuka-Sprache QQ /1tum QQ
<row>Türkisch QQ /1tur QQ
<row>Turkmenisch QQ /1tuk QQ
<row>Tuwinisch QQ /1tyv QQ
<row>Twi-Sprache QQ /1twi QQ
<row>Ugaritisch QQ /1uga QQ
<row>Uigurisch QQ /1uig QQ
<row>Ukrainisch QQ /1ukr QQ
<row>Ungarisch QQ /1hun QQ
<row>Unitario QQ /1art QQ
<row>Urdu QQ /1urd QQ
<row>Usbekisch QQ /1uzb QQ
<row>Vai-Sprache QQ /1vai QQ
<row>Venda-Sprache QQ /1ven QQ
<row>Vietnamesisch QQ /1vie QQ
<row>Volapük QQ /1vol QQ
<row>Wakash-Sprachen QQ /1wak QQ
<row>Walamo-Sprache QQ /1wal QQ
<row>Waray QQ /1war QQ
<row>Washo-Sprache QQ /1was QQ
<row>Weißrussisch QQ /1bel QQ
<row>Wolof-Sprache QQ /1wol QQ
<row>Wotisch QQ /1vot QQ
<row>Xhosa-Sprache QQ /1xho QQ
<row>Yao-Sprache <Bantusprache> QQ /1yao QQ
<row>Yapesisch QQ /1yap QQ
<row>Yoruba-Sprache QQ /1yor QQ
<row>Yupik-Sprache QQ /1ypk QQ
<row>Zande-Sprachen QQ /1znd QQ
<row>Zapotekisch QQ /1zap QQ
<row>Zenaga QQ /1zen QQ
<row>Zhuang QQ /1zha QQ
<row>Zulu-Sprache QQ /1zul QQ
<row>Zuñi-Sprache QQ /1zun QQ
</tbl>
